sentence,processing_sentence
코로나무 고객요청사항 실시간 시청은되나  지니음성출시 인터넷연결에러뜸 회선단말특이사항 방문전연락원함 진단결과기타추가연락처,코로 나무 고객 요청사항 실시간 시청은 되나 지니 음성 출시 인터넷 연결에 러뜸 회선 단말 특이사항 방문 전 연락원 함 진단 결과 기타 추가 연락처
고객요청사항시청불 로딩중 포트리셋회선단말특이사항진단결과시험불기타추가연락처,고객 요청사항 시청 불 로딩 중 포트 리셋 회선 단말 특이사항 진단 결과 시험 불기 타 추가 연락처
 임의 수신불리셋 ,임의 수신 불 리셋
고객요청사항수신불 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고령자 오전취소건있을경우 우선 방문 원함 독촉심함차 리셋후 동일 빠른방문원함리셋접수 시간 내외 리콜 안내 고객요청사항수신불회선단말특이사항진단결과기타추가연락처,고령자 오전 취소 건 있을 경우 우선 방문 원함 독촉 심함 차 리셋 후 동일 빠른 방문 원함 리 셋 접수 시간 내외 리콜 안내 고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
수신불,수신 불
고객요청사항부주의쥐가 선을 갉았다고 하심회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 부주의 쥐가 선을 갉았다고 하심 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
취소건있으면 당겨서점검고객요청사항시청불 리셋 코로나무 미리연락요 회선단말특이사항진단결과  기타추가연락처,취소 건 있으면 당겨서 점검 고객 요청사항 시청 불 리셋 코로 나무 미리 연락요 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리셋접수수신불리셋회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 접수 수신 불 리셋 회선 단말 특이사항 진단 결과 기타 추가 연락처
원리모컨 파손 구매접수 및 통합설정 페어링설정 문자 발송,안 리모컨 파손 구매 접수 및 통합 설정 페어링 설정 문자 발송
김현철 채팅  셋탑작동이상댁내 셋탑 대가 모두 자동으로 꺼졌다 켜진다고함접수는 보류요청함,김현철 채팅 셋 탑 작동 이상 댁내 셋탑 대가 모두 자동으로 꺼졌다 켜진다고 한 접수는 보류 요청함
고객요청사항시청불 외부입력설정 시청안됨 셋탑리셋회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 시청 불 외부 입력 설정 시청 안됨 셋톱 리셋 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
수신불 ,수신 불
임의회선고객요청사항선연결요청  방문점검요청회선단말특이사항진단결과정상기타추가연락처,임 의회 선 고객 요청 사향선 연결 요청 방문 점검 요청 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항임의  수신불 주소확인 회선단말특이사항진단결과기타추가연락처,고객 요청사항 임의 수신 불 주소 확인 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항임의수신불연락후방문회선단말특이사항진단결과기타추가연락처,고객 요청사항 임의 수신 불 연락 후 방문 회선 단말 특이사항 진단 결과 기타 추가 연락처
수신불 선끊김 ,수신 불 선 끊김
고객요청사항부팅중 멈춤셋탑을 교체 해달라고 요청하심회선단말특이사항진단결과기타추가연락처,고객 요청사항 부팅 중 멈춤 셋탑을 교체 해달라고 요청하심 회선 단말 특이사항 진단 결과 기타 추가 연락처
일리셋대수신불리셋인입,일리셋대수신불리셋인입
일시영상안나옴음성정상,일시 영상 안 나옴 음성 정상
고객요청사항청소후 화면정상 음성안나옴 셋탑리셋안내 외부라고 접수해달라심 회선단말특이사항진단결과기타추가연락처,고객 요청사항 청소 후 화면 정상 음성은 나옴 셋톱 리셋 안내 외부라고 접수해달라 심 회선 단말 특이사항 진단 결과 기타 추가 연락처
리셋접수 시간 내외 리콜 안내 고객요청사항수신불회선단말특이사항진단결과기타추가연락처,리셋 접수 시간 내외 리콜 안내 고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
추가일오후방문안내함음성이상음성송출됨셋탑재부팅해도동일증상,추가 일 오후 방문 안내함 음성 이상 음성 송출됨셋탑재 부팅해도 동일 증상
 임의 화면안나옴 문제 인지 리모컨 문제인지 점검요청 ,임의 화면 안 나옴 문제 인지 리모컨 문제인지 점검 요청
고객요청사항수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항부재중이라들어가서하시면된다며연락먼저달라함영상끊김흔들림연락후방문회선단말특이사항진단결과기타추가연락처,고객 요청사항 부재중이라 들어가서 하시면 된다며 연락 먼저 달라 한 영상 끊김 흔들림 연락 후 방문 회선 단말 특이사항 진단 결과 기타 추가 연락처
티비인됨케이블연결상태오류뜸녹색외부입력확인함빠른점검요,이비인 됨 케이블 연결 상태 오류 뜸 녹색 외부 입력 확인함 빠른 점검요
고객요청사항시청불 신없음 기가지니 외부입력후동일 기가지니리셋후사용됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 불 신 없음 기가 지니 외부 입력 후 동일 기가 지니 리셋 후 사용됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
일리셋수신불리셋,일리셋 수신 불 리셋
 리셋접수수신불,리셋 접수 수신 불
고객요청사항수신불연락후방문회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 연락 후 방문 회선 단말 특이사항 진단 결과 기타 추가 연락처
차 리셋후 동일 빠른방문원함잦은고장불만  꼼꼼하게 점검요청지난번다녀간엔지니어말고기술뛰어난 엔지니어방문원함 민원심함고객요청사항리셋접수수신불회선단말특이사항진단결과기타추가연락처,차 리셋 후 동일 빠른 방문 원함 잦은 고장 불만 꼼꼼하게 점검 요청 지난번 다녀간 엔지니어 말고 기술 뛰어난 엔지니 어 방문 원함 민원 심함 고객 요청사항리셋 접수 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무재확인필 고객요청사항 티비 수신불 회선단말특이사항 최대한 빠른 방문 희망   매장 인터넷 진단결과   기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 티브이 수신 불 회선 단말 특이사항 최대한 빠른 방문 희망 매장 인터넷 진단 결과 기타 추가 연락처
 리셋   시청불 수신미약 회선단말특이사항진단결과기타추가연락처,리셋 시청 불 수신 미약 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항수신불 셋탑리셋동일회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 셋톱 리셋 동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
리모컨지참까지해서방문요청함추가일오전시시방문안내함수신불화면안나옴셋탑재부팅해도동일증상언급,리모컨 지참까지 해서 방문 요청함 추가 일 오전 시시 방문 안내 함수 신불 화면 안 나 옴셋탑재 부팅해도 동일 증상 언급
고객요청사항아트빌수신불시방문요청외부 회선단말특이사항임의 코로나이상무 진단결과기타추가연락처,고객 요청사항 아르빌 수신 불시 방문 요청 외부 회선 단말 특이사항 임의 코로나 이상무 진단 결과 기타 추가 연락처
고객요청사항리모컨잘못 건드리고 수신불 회선단말특이사항진단결과기타추가연락처엔지니어확인되면 연락먼저요청,고객 요청사항 리모컨 잘못 건드리고 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처 엔지니어 확인되면 연락 먼저 요청
고객요청사항시청불 화면깨짐 연결오류 셋탑리셋회선단말특이사항진단결과정상기타추가연락처,고객 요청사항 시청 불 화면 깨짐 연결 오류 셋톱 리셋 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
코로나이상무재확인필  고객요청사항회선단말특이사항임의회선작은방진단결과정상기타추가연락처인,코로나 이 상무 재확인 필 고객 요청사항 회선 단말 특이사항 임의 회선 작은방 진단 결과 정상기 타 추가 연락처인
코로나 이상무재확인필고객요청사항리모컨 버튼 누르면 초 뒤에 반응함모뎀셋톱 재부팅해도 동일현상 반복방문점검요청 회선단말특이사항진단결과정상기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 리모컨 버튼 누르면 초 뒤에 반응함 모뎀 셋톱 재부팅해도 동일 현상 반복 방문 점검 요청 회선단 말이 특이 사항 진단 결과 정상기 타 추가 연락처
고객요청사항리셋시간전후안내화면정상음성안나옴회선단말특이사항진단결과기타추가연락처,고객 요청사항리셋 시간 전후 안내 화면 정상 음성은 나옴 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항유투브랑 넷플릭스안됨작은방 노트북도같이안됨연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 유튜브랑 넷플릭스 안됨 작은방 노트북도 같이 안됨 연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
티비 전부 안됨빠른점검요인입,티브이 전부 안됨 빠른 점검 요 인입
고객요청사항취소건있을시 챙겨서 방문요청독촉코로나이상무재확인필티수신불바코드확인회선단말특이사항진단결과기타추가연락처,고객 요청사항 취소 건 있을 시 챙겨서 방문 요청 독촉 코로나 이상 무재 확인 필 티 수신 불 바코드 확인 회선 단말 특이사항 진단 결과 기타 추가 연락처
